user_id,system,recall@10,long_tail_recall@10
user_000008,Random,0.0,0.0
user_000008,Popularity,0.0,0.0
user_000008,CF (ItemKNN),0.0,0.0
user_000008,Content (Avg Emb),0.007194244604316547,0.0
user_000008,Last-Item,0.0,0.0
user_000008,Avg-Last-10,0.0,0.0
user_000008,Recency-Weighted,0.0,0.0
user_000008,Essence (K=10),0.0,0.0
user_000014,Random,0.0,
user_000014,Popularity,0.0,
user_000014,CF (ItemKNN),0.0,
user_000014,Content (Avg Emb),0.0,
user_000014,Last-Item,0.0,
user_000014,Avg-Last-10,0.0,
user_000014,Recency-Weighted,0.0,
user_000014,Essence (K=10),0.0,
user_000045,Random,0.0,
user_000045,Popularity,0.0,
user_000045,CF (ItemKNN),0.0,
user_000045,Content (Avg Emb),0.0,
user_000045,Last-Item,0.0,
user_000045,Avg-Last-10,0.0,
user_000045,Recency-Weighted,0.0,
user_000045,Essence (K=10),0.0,
user_000048,Random,0.0,
user_000048,Popularity,0.0,
user_000048,CF (ItemKNN),0.0,
user_000048,Content (Avg Emb),0.0,
user_000048,Last-Item,0.0,
user_000048,Avg-Last-10,0.0,
user_000048,Recency-Weighted,0.0,
user_000048,Essence (K=10),0.0,
user_000049,Random,0.0,
user_000049,Popularity,0.0,
user_000049,CF (ItemKNN),0.0,
user_000049,Content (Avg Emb),0.0,
user_000049,Last-Item,0.0,
user_000049,Avg-Last-10,0.0,
user_000049,Recency-Weighted,0.0,
user_000049,Essence (K=10),0.0,
user_000077,Random,0.0,0.0
user_000077,Popularity,0.0,0.0
user_000077,CF (ItemKNN),0.0,0.0
user_000077,Content (Avg Emb),0.0,0.0
user_000077,Last-Item,0.0,0.0
user_000077,Avg-Last-10,0.0,0.0
user_000077,Recency-Weighted,0.0,0.0
user_000077,Essence (K=10),0.0,0.0
user_000088,Random,0.0,
user_000088,Popularity,0.0,
user_000088,CF (ItemKNN),0.0,
user_000088,Content (Avg Emb),0.0,
user_000088,Last-Item,0.0,
user_000088,Avg-Last-10,0.0,
user_000088,Recency-Weighted,0.0,
user_000088,Essence (K=10),0.0,
user_000106,Random,0.0,
user_000106,Popularity,0.0,
user_000106,CF (ItemKNN),0.0,
user_000106,Content (Avg Emb),0.0,
user_000106,Last-Item,0.0,
user_000106,Avg-Last-10,0.0,
user_000106,Recency-Weighted,0.0,
user_000106,Essence (K=10),0.0,
user_000143,Random,0.0,
user_000143,Popularity,0.0,
user_000143,CF (ItemKNN),0.0,
user_000143,Content (Avg Emb),0.0,
user_000143,Last-Item,0.0,
user_000143,Avg-Last-10,0.0,
user_000143,Recency-Weighted,0.0,
user_000143,Essence (K=10),0.0,
user_000146,Random,0.0,
user_000146,Popularity,0.0,
user_000146,CF (ItemKNN),0.0,
user_000146,Content (Avg Emb),0.0,
user_000146,Last-Item,0.0,
user_000146,Avg-Last-10,0.0,
user_000146,Recency-Weighted,0.0,
user_000146,Essence (K=10),0.0,
user_000157,Random,0.0,0.0
user_000157,Popularity,0.0,0.0
user_000157,CF (ItemKNN),0.0,0.0
user_000157,Content (Avg Emb),0.0,0.0
user_000157,Last-Item,0.0,0.0
user_000157,Avg-Last-10,0.0,0.0
user_000157,Recency-Weighted,0.0,0.0
user_000157,Essence (K=10),0.0,0.0
user_000192,Random,0.0,
user_000192,Popularity,0.0,
user_000192,CF (ItemKNN),0.0,
user_000192,Content (Avg Emb),0.0,
user_000192,Last-Item,0.0,
user_000192,Avg-Last-10,0.0,
user_000192,Recency-Weighted,0.0,
user_000192,Essence (K=10),0.0,
user_000204,Random,0.0,0.0
user_000204,Popularity,0.0,0.0
user_000204,CF (ItemKNN),0.0,0.0
user_000204,Content (Avg Emb),0.0,0.0
user_000204,Last-Item,0.0,0.0
user_000204,Avg-Last-10,0.023255813953488372,0.0
user_000204,Recency-Weighted,0.023255813953488372,0.0
user_000204,Essence (K=10),0.0,0.0
user_000225,Random,0.0,0.0
user_000225,Popularity,0.016129032258064516,0.0
user_000225,CF (ItemKNN),0.016129032258064516,0.0
user_000225,Content (Avg Emb),0.03225806451612903,0.0
user_000225,Last-Item,0.0,0.0
user_000225,Avg-Last-10,0.0,0.0
user_000225,Recency-Weighted,0.0,0.0
user_000225,Essence (K=10),0.0,0.0
user_000228,Random,0.0,0.0
user_000228,Popularity,0.02,0.0
user_000228,CF (ItemKNN),0.0,0.0
user_000228,Content (Avg Emb),0.0,0.0
user_000228,Last-Item,0.0,0.0
user_000228,Avg-Last-10,0.0,0.0
user_000228,Recency-Weighted,0.0,0.0
user_000228,Essence (K=10),0.0,0.0
