user_id,tier,essence_recall@10,recency_recall@10,essence_lt@10,recency_lt@10
AE22B2ANHYAO5UEY2ES44UULE3MA,low,0.0,0.0,0.0,0.0
AE22PJ54OVIRX3I6KSLMPRHPHA4A,low,0.2,0.0,1.0,0.0
AE246EXD4ELOLCO2E5SBMCLTGBZA,high,0.0,0.0,0.0,0.0
AE2AQKVYASF4ETBTWDGLLTDQO7OQ,high,0.0,0.0,,
AE2DLPD6BJSMRRM4TKY73HVMGIIQ,high,0.0,0.0,0.0,0.0
AE2EM4N53O2MBQZDO7HCDDDS7ENQ,high,0.2,0.1,0.5,0.0
AE2HIVUPHW24NGXO3Z4H242GEXMA,medium,0.0,0.0,,
AE2IKH73QTZNJC6252DYBDU6FG5Q,medium,0.0,0.0,0.0,0.0
AE2NVVV2V7YPI3FKKIQVJ2HV3LRA,low,0.0,0.0,0.0,0.0
AE2OV7ZHJHMWUYNHVYXQIFIKJRUA,medium,0.0,0.0,,
AE2QUTTHOYRCGPDMEWXS7KONPHIA,high,0.0,0.0,0.0,0.0
AE2RLTSZH3VQJ56DHRKPVD3PN3GA,high,0.0,0.1111111111111111,0.0,0.0
AE2T2N27BPZPMLWGPYDN36WSMMNQ,low,0.0,0.0,0.0,0.0
AE2W3LIVLBGYFXKV3IJHUIISCTMA,medium,0.0,0.0,,
AE2WHEDM37BCLZ3JZ7243F5LWPAA,low,0.0,0.0,0.0,0.0
AE2YCD3VFV37AJGQTVPJSPELUEAQ,medium,0.0,0.0,0.0,0.0
AE2ZUXNTUHBVHVQHK4WXFAUDSRBA,high,0.0,0.16666666666666666,0.0,0.0
AE33M3VCZVO73BZSJJE2FISKH5PA,medium,0.0,0.0,0.0,0.0
AE33ZI6SE6DTIUCGWRJKPGUINHMQ,high,0.0,0.0,,
AE35UUR244KJAQBB2DSS4DSGYALA,low,0.0,0.0,0.0,0.0
AE35YU4J47VU5YUOM363CB66XYEQ,high,0.14285714285714285,0.14285714285714285,0.0,0.0
AE36CG34JACRW2PJNZMHG77G7ZQQ,medium,0.0,0.0,0.0,0.0
AE37HZEVR5HEOOICLGRTYKDGLIXQ,medium,0.0,0.0,,
AE3BREF53CVP7AWMWGASOXY4IXHQ,low,0.0,0.0,0.0,0.0
AE3BRK3TKP2BMMTEVTFFFP4MWORA,high,0.0,0.0,,
AE3FB36HCQWBPNJMNR32OZF7R2VA,medium,0.0,0.0,,
AE3GFH2E2YRWOY3SITII4I626CHA,medium,0.0,0.0,,
AE3H6RAJ7XRY7FNNGGKM4RSFVELQ,high,0.16666666666666666,0.0,0.0,0.0
AE3K2OXLWBNC5ZNATW5R4D6MBHEQ,high,0.0,0.0,0.0,0.0
AE3K46F3D2L2PVPRVS2ZVGC5YPVQ,high,0.0,0.0,0.0,0.0
AE3K6X64XRJ2ULL6W2D6SLLW7WFA,low,0.0,0.0,,
AE3M2VAZQRK7BRNF24WBPLYWW2NA,medium,0.5,0.0,0.0,0.0
AE3ROSUFQMZSUWMRUGOEBKTGWCZA,low,0.0,0.0,0.0,0.0
