user_id,tier,essence_recall@10,recency_recall@10,essence_lt@10,recency_lt@10
86,medium,0.0,0.0,,
115,high,0.0,0.0,,
195,high,0.0,0.0,0.0,0.0
272,low,0.0,0.0,0.0,0.0
339,high,0.0,0.0,,
392,high,0.14285714285714285,0.14285714285714285,,
410,medium,0.0,0.0,0.0,0.0
773,low,0.0,0.0,,
931,high,0.0,0.0,,
989,low,0.0,0.0,,
1125,medium,0.0,0.0,,
1135,medium,0.0,0.0,,
1167,low,0.0,0.0,0.0,0.0
1235,high,0.0,0.0,,
1238,medium,0.0,0.0,0.0,0.0
1449,medium,0.0,0.0,,
1465,low,0.0,0.0,0.0,0.0
1624,low,0.034482758620689655,0.0,0.0,0.0
1647,low,0.0,0.0,0.0,0.0
1690,low,0.0,0.0,,
1698,low,0.0,0.0,,
1755,medium,0.0,0.0,0.0,0.0
1774,medium,0.0,0.0,,
1798,high,0.0,0.0,0.0,0.0
1812,medium,0.06896551724137931,0.0,0.0,0.0
1862,medium,0.0,0.0,0.0,0.0
1872,medium,0.0,0.0,,
2023,medium,0.0,0.0,,
2045,medium,0.0,0.04,,
2130,high,0.0,0.0,,
2134,low,0.0,0.0,0.0,0.0
2285,high,0.0,0.0,,
2376,medium,0.0,0.0,,
2393,low,0.0,0.0,,
2497,medium,0.0,0.0,,
2505,high,0.0,0.0,,
2666,high,0.0,0.0,,
2713,medium,0.038461538461538464,0.038461538461538464,,
2742,low,0.0,0.0,,
2781,medium,0.0,0.0,,
2793,medium,0.0,0.0,,
2825,medium,0.0,0.07692307692307693,,
3005,low,0.0,0.0,0.0,0.0
3066,low,0.0,0.0,,
3109,medium,0.0,0.0,,
3149,high,0.0,0.0,,
3191,medium,0.0,0.0,0.0,0.0
3212,low,0.0,0.0,,
3229,high,0.0,0.0,0.0,0.0
3262,medium,0.0,0.0,,
3282,high,0.0,0.0,,
3342,high,0.0,0.0,,
3386,medium,0.0,0.0,,
3496,low,0.0,0.0,,
3531,medium,0.0,0.0,,
3585,low,0.0,0.0,,
3621,high,0.0,0.030303030303030304,0.0,0.0
3643,high,0.0,0.0,0.0,0.0
3689,low,0.0,0.0,0.0,0.0
3702,low,0.0,0.0,,
3722,high,0.0,0.0,0.0,0.0
3851,medium,0.0,0.0,,
3967,high,0.0,0.1111111111111111,,
3979,low,0.0,0.0,,
4029,low,0.0,0.0,,
4124,low,0.0,0.0,0.0,0.0
4151,medium,0.0,0.0,,
4192,high,0.0,0.0,,
4272,medium,0.0,0.0,,
4369,high,0.0,0.0,,
4397,medium,0.0,0.0,0.0,0.0
4484,low,0.0,0.0,,
4525,high,0.0,0.0,,
4644,high,0.0,0.0,,
4659,low,0.0,0.0,0.0,0.0
4766,low,0.0,0.0,,
4922,medium,0.0,0.0,,
4925,low,0.0,0.0,,
4951,low,0.0,0.0,,
5044,low,0.0,0.0,,
5134,high,0.0,0.0,0.0,0.0
5179,high,0.0,0.0,,
5190,high,0.07142857142857142,0.07142857142857142,0.5,0.5
5216,low,0.038461538461538464,0.0,0.0,0.0
5256,medium,0.0,0.0,,
5280,high,0.2,0.2,,
5338,high,0.0,0.0,,
5394,low,0.0,0.0,0.0,0.0
5423,low,0.0,0.0,,
5476,low,0.0,0.0,,
5491,high,0.0,0.0,,
5545,medium,0.0,0.0,,
5580,low,0.0,0.0,0.0,0.0
5735,high,0.0,0.0,,
6053,high,0.0,0.0,,
6172,high,0.0,0.0,,
6185,low,0.0,0.0,0.0,0.0
6270,medium,0.0,0.0,,
6282,low,0.0,0.0,,
6301,low,0.0,0.0,,
6372,medium,0.0,0.0,,
6392,low,0.0,0.0,,
6403,high,0.0,0.0,,
6607,high,0.0,0.0,0.0,0.0
6715,high,0.0,0.0,,
6923,medium,0.0,0.0,,
6924,medium,0.0,0.0,0.0,0.0
6966,low,0.0,0.0,,
6973,medium,0.0,0.0,,
7138,low,0.0,0.0,0.0,0.0
7154,low,0.0,0.0,,
7225,medium,0.0,0.0,0.0,0.0
7332,high,0.0,0.0,,
7451,medium,0.0,0.0,,
7501,high,0.0,0.0,,
7614,high,0.0,0.0,,
7636,high,0.045454545454545456,0.045454545454545456,,
7638,medium,0.0,0.0,,
7662,high,0.0,0.0625,0.0,0.0
7775,high,0.0,0.0,,
7913,high,0.0,0.0,0.0,0.0
7959,medium,0.0,0.0,0.0,0.0
8142,high,0.0,0.0,,
8156,medium,0.0,0.0,0.0,0.0
8157,low,0.0,0.0,0.0,0.0
8292,medium,0.0,0.0,0.0,0.0
8313,medium,0.0,0.0,,
8342,low,0.0,0.0,0.0,0.0
8432,low,0.0,0.0,,
8564,low,0.0,0.0,,
8608,low,0.0,0.0,0.0,0.0
8723,low,0.0,0.0,,
8826,low,0.0,0.0,,
9157,medium,0.0,0.0,,
9403,low,0.0,0.0,0.0,0.0
9461,low,0.0,0.0,0.0,0.0
9479,low,0.0,0.0,,
9575,high,0.0,0.0,0.0,0.0
9607,high,0.0,0.0,,
9633,low,0.0,0.0,,
9853,high,0.0,0.0,,
9900,high,0.0,0.0,0.0,0.0
9910,medium,0.0,0.0,0.0,0.0
9923,high,0.0,0.0,,
9965,low,0.0,0.0,,
9993,low,0.0,0.0,,
9995,high,0.0,0.0,,
9996,low,0.0,0.0,,
10015,high,0.0,0.0,,
10028,low,0.0,0.0,,
10142,high,0.041666666666666664,0.0,,
10373,low,0.0,0.0,,
10464,medium,0.0,0.0,,
10471,medium,0.0,0.0,0.0,0.0
11002,low,0.0,0.0,,
11033,low,0.0,0.0,,
11280,high,0.0,0.0,,
11358,high,0.0,0.0,,
11499,medium,0.0,0.0,,
11519,high,0.0,0.0,,
11538,high,0.0,0.0,,
11601,high,0.0,0.0,,
11785,medium,0.0,0.0,,
11811,medium,0.0625,0.0625,,
11919,medium,0.0,0.0,,
11968,medium,0.0,0.0,,
12034,medium,0.0,0.0,0.0,0.0
12348,high,0.0,0.0,0.0,0.0
12468,medium,0.0,0.0,,
12594,medium,0.0,0.0,,
12598,medium,0.0,0.0,,
12612,low,0.0,0.0,,
12665,high,0.0,0.0,0.0,0.0
12774,low,0.0,0.0,,
12869,medium,0.0,0.04,,
12927,low,0.0,0.0,,
13045,low,0.0,0.0,,
13098,high,0.1111111111111111,0.1111111111111111,,
13174,medium,0.0,0.043478260869565216,0.0,1.0
13183,low,0.0,0.0,,
13271,high,0.0,0.0,,
13281,low,0.0,0.0,,
13313,medium,0.0,0.0,0.0,0.0
13370,low,0.0,0.0,,
13406,high,0.0,0.0,,
13457,high,0.0,0.0,,
13559,medium,0.0,0.0,,
13633,low,0.0,0.0,0.0,0.0
13658,low,0.034482758620689655,0.0,,
13677,low,0.0,0.0,,
13726,low,0.0,0.0,,
13854,low,0.0,0.0,,
13871,high,0.0,0.0,0.0,0.0
14013,low,0.2,0.0,,
14046,low,0.0,0.0,,
14074,high,0.0,0.1111111111111111,0.0,0.0
14226,low,0.0,0.0,,
14269,high,0.0,0.0,,
14305,low,0.0,0.0,0.0,0.0
14356,low,0.0,0.0,0.0,0.0
14380,low,0.0,0.0,0.0,0.0
14394,medium,0.0,0.0,,
14443,high,0.0,0.0,,
14460,low,0.0,0.0,,
14496,high,0.0,0.0,,
14546,high,0.2,0.2,,
14550,high,0.0,0.0,0.0,0.0
14649,high,0.0,0.0,0.0,0.0
14744,medium,0.0,0.0,,
14806,high,0.0,0.0,,
14818,medium,0.0,0.0,0.0,0.0
14858,low,0.0,0.0,0.0,0.0
14927,high,0.0,0.0,,
15060,medium,0.0,0.0,,
15084,medium,0.0,0.0625,,
15087,medium,0.0,0.0,,
15093,low,0.0,0.0,,
15179,high,0.0,0.0,,
15284,low,0.0,0.0,,
15364,medium,0.0,0.0,,
