user_id,silhouette,essence_recall,recency_recall,essence_lt,recency_lt,stratum
user_000008,0.039156269282102585,0.036144578313253,0.0602409638554216,0.0,0.0714285714285714,medium
user_000014,0.061605069786310196,0.0,0.0,0.0,0.0,high
user_000045,0.0534156896173954,0.0,0.0,0.0,0.0,medium
user_000048,0.01251970324665308,0.0,0.0,0.0,0.0,low
user_000049,0.029292715713381767,0.0,0.0,0.0,0.0,low
user_000057,0.045925434678792953,0.0,0.0253164556962025,0.0,0.0,medium
user_000077,0.017757214605808258,0.0,0.0,0.0,0.0,low
user_000080,0.06190028414130211,0.0,0.0,0.0,0.0,high
user_000088,0.10533290356397629,0.0,0.0,,,high
user_000098,0.01841805689036846,0.0,0.0,,,low
user_000099,0.05268331989645958,0.0140845070422535,0.1408450704225352,,,medium
user_000101,0.07370098680257797,0.1111111111111111,0.2777777777777778,0.0,0.6666666666666666,high
user_000106,0.02282297983765602,0.0,0.0,0.0,0.0,low
user_000140,0.014627723023295403,0.0,0.0294117647058823,0.0,0.0,low
user_000143,0.016305765137076378,0.0,0.0344827586206896,0.0,0.0,low
user_000146,0.05829580873250961,0.037037037037037,0.0,0.0,0.0,medium
user_000157,0.09068068116903305,0.0975609756097561,0.0975609756097561,0.0,0.0,high
user_000171,0.0164727084338665,0.0,0.0,0.0,0.0,low
user_000176,0.08873258531093597,0.0,0.0,0.0,0.0,high
user_000183,0.04953114315867424,0.0,0.0,0.0,0.0,medium
user_000184,0.055433329194784164,0.0192307692307692,0.0,0.0,0.0,medium
user_000192,0.05905204638838768,0.0,0.0,0.0,0.0,high
user_000204,0.09414941072463989,0.0,0.0,0.0,0.0,high
user_000225,0.1284233033657074,0.0109890109890109,0.0,0.0434782608695652,0.0,high
user_000228,0.07955455034971237,0.0,0.0,0.0,0.0,high
user_000232,0.021133223548531532,0.0,0.0,0.0,0.0,low
user_000247,0.081290602684021,0.0,0.1351351351351351,0.0,0.0,high
user_000272,0.031370773911476135,0.0,0.0,0.0,0.0,medium
user_000282,0.0371902734041214,0.0,0.0,0.0,0.0,medium
user_000286,0.058573268353939056,0.0,0.0,0.0,0.0,medium
user_000301,0.04864688590168953,0.0,0.0,0.0,0.0,medium
user_000308,0.2153240293264389,0.0769230769230769,0.6923076923076923,,,high
user_000321,0.019875813275575638,0.0,0.0,0.0,0.0,low
user_000328,0.0317971333861351,0.0,0.0434782608695652,0.0,0.064516129032258,medium
user_000333,0.01758386194705963,0.0,0.0,0.0,0.0,low
user_000335,0.11300957202911377,0.0,0.03125,0.0,0.0,high
user_000336,0.03351171314716339,0.0,0.0,0.0,0.0,medium
user_000352,0.14046186208724976,0.0,0.0,0.0,0.0,high
user_000364,0.013277420774102211,0.0,0.0,0.0,0.0,low
user_000368,0.05090591683983803,0.0,0.0,0.0,0.0,medium
user_000375,0.051825691014528275,0.0175438596491228,0.0,0.0,0.0,medium
user_000386,0.06343916058540344,0.0,0.0,0.0,0.0,high
user_000399,0.054808225482702255,0.0,0.0,0.0,0.0,medium
user_000402,0.07940405607223511,0.0,0.0,0.0,0.0,high
user_000406,0.05777817219495773,0.0,0.0,0.0,0.0,medium
user_000408,0.016919182613492012,0.0,0.0,0.0,0.0,low
user_000410,0.0060196323320269585,0.0,0.0,0.0,0.0,low
user_000416,0.062271151691675186,0.0,0.0,0.0,0.0,high
user_000419,0.048999082297086716,0.0,0.0,0.0,0.0,medium
user_000435,0.05308984965085983,0.0,0.1111111111111111,0.0,0.0,medium
user_000448,0.027566388249397278,0.0,0.010204081632653,0.0,0.0,low
user_000455,0.07226826250553131,0.0,0.0,0.0,0.0,high
user_000473,0.09327810257673264,0.0,0.0142857142857142,0.0,0.0,high
user_000487,0.017491009086370468,0.0,0.0,0.0,0.0,low
user_000519,0.07359723746776581,0.0,0.0,0.0,0.0,high
user_000526,0.0492933988571167,0.0,0.0769230769230769,0.0,0.0,medium
user_000541,0.024202924221754074,0.0,0.0,0.0,0.0,low
user_000547,0.04463570564985275,0.0,0.1458333333333333,,,medium
user_000548,0.01627507619559765,0.0,0.0,0.0,0.0,low
user_000556,0.04366214573383331,0.0,0.0,0.0,0.0,medium
user_000560,0.01268711593002081,0.0,0.0,0.0,0.0,low
user_000561,0.2701460123062134,0.4666666666666667,0.4666666666666667,0.5,0.5,high
user_000563,0.050389986485242844,0.0,0.0,0.0,0.0,medium
user_000567,0.016765771433711052,0.0,0.0,0.0,0.0,low
user_000597,0.03930316120386124,0.0,0.0,0.0,0.0,medium
user_000608,0.09551379084587097,0.0,0.0,0.0,0.0,high
user_000638,0.01988678053021431,0.0,0.0,0.0,0.0,low
user_000657,0.015121289528906345,0.0,0.0,0.0,0.0,low
user_000664,0.037345387041568756,0.0,0.0,0.0,0.0,medium
user_000674,0.07738197594881058,0.0,0.0181818181818181,0.0,0.0,high
user_000677,0.03826672583818436,0.0,0.0,0.0,0.0,medium
user_000723,0.018777398392558098,0.0,0.0,0.0,0.0,low
user_000736,0.012684443034231663,0.0,0.0,0.0,0.0,low
user_000748,0.032275762408971786,0.0117647058823529,0.0,0.0,0.0,medium
user_000759,0.01608571782708168,0.0,0.0,0.0,0.0,low
user_000777,0.09516890347003937,0.0,0.0,0.0,0.0,high
user_000784,0.024271640926599503,0.0,0.0,0.0,0.0,low
user_000785,0.02810005098581314,0.0,0.0,0.0,0.0,low
user_000786,0.03476801514625549,0.0,0.0217391304347826,0.0,0.0,medium
user_000796,0.04075741022825241,0.0,0.0140845070422535,0.0,0.0909090909090909,medium
user_000805,0.04813072457909584,0.0,0.0,0.0,0.0,medium
user_000817,0.05949266254901886,0.0,0.0153846153846153,,,high
user_000843,0.030823254957795143,0.0,0.0,0.0,0.0,medium
user_000846,0.06466060131788254,0.0,0.0,0.0,0.0,high
user_000853,0.07206442207098007,0.0,0.0476190476190476,0.0,0.0,high
user_000855,0.08528479188680649,0.217391304347826,0.3043478260869565,,,high
user_000859,0.1112498939037323,0.0185185185185185,0.0555555555555555,0.0,0.0,high
user_000864,0.06961086392402649,0.0,0.0,0.0,0.0,high
user_000883,0.024952583014965057,0.0,0.0,0.0,0.0,low
user_000907,0.058065518736839294,0.0,0.0,0.0,0.0,medium
user_000916,0.01857064664363861,0.024390243902439,0.0,0.0,0.0,low
user_000948,0.021857745945453644,0.0,0.0,0.0,0.0,low
user_000955,0.02737492136657238,0.0,0.074074074074074,0.0,0.0,low
user_000956,0.01657995954155922,0.0,0.0,0.0,0.0,low
user_000967,0.05401742085814476,0.0,0.0421052631578947,0.0,0.0,medium
user_000972,0.10720057040452957,0.0206185567010309,0.0206185567010309,0.0,0.0,high
user_000982,0.09985597431659698,0.0,0.0,0.0,0.0,high
user_000985,0.077479287981987,0.0,0.0,0.0,0.0,high
user_000996,0.016469735652208328,0.0,0.0,0.0,0.0,low
