userId,movieId,rating,timestamp
67,1,3.0,975661584
67,2,4.0,975662161
67,19,3.0,975662626
67,44,1.0,975664200
67,48,4.0,975661876
67,110,4.0,975662801
67,153,2.0,975662801
67,165,4.0,975664056
67,170,4.0,975664127
67,208,3.0,975664127
67,260,4.0,975660443
67,277,2.0,975661413
67,316,3.0,975663969
67,344,3.0,975662626
67,364,3.0,975661705
67,366,2.0,975661054
67,367,3.0,975662161
67,377,3.0,975663879
67,380,3.0,975663969
67,410,4.0,975662626
67,434,3.0,975664127
67,480,4.0,975660820
67,546,1.0,975664273
67,551,5.0,975660783
67,552,3.0,975664056
67,558,1.0,975662161
67,585,3.0,975662801
67,588,4.0,975661705
67,589,3.0,975663879
67,594,2.0,975661625
67,595,4.0,975661625
67,596,2.0,975661757
67,653,4.0,975662161
67,661,4.0,975661054
67,673,1.0,975661908
67,692,3.0,975664200
67,694,4.0,975664318
67,737,3.0,975664273
67,748,3.0,975662801
67,780,3.0,975660382
67,788,3.0,975662161
67,849,4.0,975664200
67,891,4.0,975661495
67,926,4.0,975662626
67,1024,3.0,975661876
67,1025,5.0,975661705
67,1029,3.0,975661705
67,1030,1.0,975661876
67,1032,3.0,975661705
67,1033,4.0,975661828
67,1035,1.0,975660920
67,1073,4.0,975662347
67,1097,4.0,975662347
67,1270,3.0,975660478
67,1282,4.0,975660783
67,1370,3.0,975663969
67,1377,4.0,975664056
67,1385,3.0,975660478
67,1527,4.0,975663969
67,1544,2.0,975661278
67,1562,2.0,975664273
67,1566,3.0,975661757
67,1580,4.0,975660743
67,1688,3.0,975661876
67,1752,4.0,975664200
67,1876,4.0,975664056
67,1907,3.0,975661705
67,1920,2.0,975661828
67,1967,2.0,975660443
67,1976,2.0,975661217
67,2005,4.0,975662347
67,2006,3.0,975663969
67,2017,3.0,975662347
67,2018,3.0,975661664
67,2028,4.0,975663879
67,2033,4.0,975661183
67,2048,5.0,975661876
67,2054,2.0,975662347
67,2078,4.0,975661664
67,2080,3.0,975661757
67,2081,4.0,975661757
67,2085,2.0,975661757
67,2087,2.0,975661757
67,2089,4.0,975661757
67,2090,4.0,975661798
67,2093,3.0,975662347
67,2096,3.0,975661798
67,2123,3.0,975661876
67,2137,3.0,975661664
67,2139,3.0,975661625
67,2140,5.0,975662061
